[2016/4/6 - 11:24:55] Min_Louis(17) (Ping: 26) | damage: 0.000000 | Weapon: M4 | Issuer: DJ_Moon(11) | Frames: 53
[2016/4/6 - 11:24:56] Min_Louis(17) (Ping: 26) | damage: 0.000000 | Weapon: M4 | Issuer: DJ_Moon(11) | Frames: 53
[2016/4/6 - 11:24:56] [PRISONED] Min_Louis(17) (Ping: 26) | damage: 0.000000 | Weapon: M4 | Issuer: DJ_Moon(11) | Frames: 53
[2016/4/6 - 11:33:25] Min_Louis(17) (Ping: 25) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: LDT_Chau(2) | Frames: 53
[2016/4/6 - 11:33:25] Min_Louis(17) (Ping: 25) | damage: 0.000000 | Weapon: Shotgun | Issuer: LDT_Frank(4) | Frames: 53
[2016/4/6 - 11:33:26] [PRISONED] Min_Louis(17) (Ping: 25) | damage: 0.000000 | Weapon: Shotgun | Issuer: LDT_Frank(4) | Frames: 54
[2016/4/6 - 11:33:39] Min_Louis(17) (Ping: 23) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: LDT_Chau(2) | Frames: 53
[2016/4/6 - 11:33:39] Min_Louis(17) (Ping: 23) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Max_Louis(15) | Frames: 53
[2016/4/6 - 15:18:14] Min_LouiS(19) (Ping: 23) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Nick(13) | Frames: 53
[2016/4/6 - 15:18:19] Min_LouiS(19) (Ping: 26) | damage: 0.000000 | Weapon: M4 | Issuer: Nick(13) | Frames: 53
[2016/4/6 - 15:24:37] Min_LouiS(20) (Ping: 20) | damage: 0.000000 | Weapon: Silenced Pistol | Issuer: Max_Louis(25) | Frames: 53
[2016/4/6 - 16:06:35] Dj_ConHeo(21) (Ping: 16) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Edwards_S_Buzikk(1) | Frames: 101
[2016/4/6 - 16:06:36] Dj_ConHeo(21) (Ping: 16) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Edwards_S_Buzikk(1) | Frames: 101
[2016/4/6 - 16:06:36] [PRISONED] Dj_ConHeo(21) (Ping: 16) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Edwards_S_Buzikk(1) | Frames: 102
[2016/4/6 - 20:34:45] HoangXuan_Dien(32) (Ping: 22) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Tuan_God(51) | Frames: 54
[2016/4/6 - 20:34:46] HoangXuan_Dien(32) (Ping: 22) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Tuan_God(51) | Frames: 54
[2016/4/6 - 20:34:46] [PRISONED] HoangXuan_Dien(32) (Ping: 22) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Tuan_God(51) | Frames: 53
[2016/4/7 - 13:49:11] Nam_Mom(24) (Ping: 41) | damage: 0.000000 | Weapon: Shotgun | Issuer: Xe_Om(3) | Frames: 51
[2016/4/7 - 13:58:17] Nam_Kings(5) (Ping: 70) | damage: 0.000000 | Weapon: M4 | Issuer: beo_hardy(26) | Frames: 51
[2016/4/7 - 13:58:18] Nam_Kings(5) (Ping: 70) | damage: 0.000000 | Weapon: M4 | Issuer: beo_hardy(26) | Frames: 51
[2016/4/7 - 13:58:18] [PRISONED] Nam_Kings(5) (Ping: 70) | damage: 0.000000 | Weapon: M4 | Issuer: beo_hardy(26) | Frames: 51
[2016/4/7 - 14:03:43] Nam_Gay(4) (Ping: 42) | damage: 0.000000 | Weapon: MP5 | Issuer: Roy_Keny(25) | Frames: 51
[2016/4/7 - 14:03:43] Nam_Gay(4) (Ping: 42) | damage: 0.000000 | Weapon: MP5 | Issuer: Roy_Keny(25) | Frames: 51
[2016/4/7 - 14:03:43] [PRISONED] Nam_Gay(4) (Ping: 42) | damage: 0.000000 | Weapon: MP5 | Issuer: Roy_Keny(25) | Frames: 51
[2016/4/7 - 14:03:43] Nam_Gay(4) (Ping: 42) | damage: 0.000000 | Weapon: MP5 | Issuer: Roy_Keny(25) | Frames: 51
[2016/4/7 - 14:03:43] Nam_Gay(4) (Ping: 42) | damage: 0.000000 | Weapon: MP5 | Issuer: Roy_Keny(25) | Frames: 51
[2016/4/7 - 14:14:24] Nam_M(36) (Ping: 40) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Dwayne_JohnConor(17) | Frames: 51
[2016/4/7 - 14:14:24] Nam_M(36) (Ping: 40) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Dwayne_JohnConor(17) | Frames: 52
[2016/4/7 - 14:14:25] [PRISONED] Nam_M(36) (Ping: 40) | damage: 0.000000 | Weapon: Combat Shotgun | Issuer: Dwayne_JohnConor(17) | Frames: 52
[2016/4/7 - 14:20:43] Nam_Mo(55) (Ping: 45) | damage: 0.000000 | Weapon: M4 | Issuer: AiLen_AmyLixx(19) | Frames: 51
[2016/4/7 - 14:20:43] Nam_Mo(55) (Ping: 45) | damage: 0.000000 | Weapon: M4 | Issuer: AiLen_AmyLixx(19) | Frames: 51
[2016/4/7 - 14:20:43] [PRISONED] Nam_Mo(55) (Ping: 45) | damage: 0.000000 | Weapon: M4 | Issuer: AiLen_AmyLixx(19) | Frames: 51
[2016/4/7 - 14:20:43] Nam_Mo(55) (Ping: 45) | damage: 0.000000 | Weapon: M4 | Issuer: AiLen_AmyLixx(19) | Frames: 51
[2016/4/7 - 14:20:43] Nam_Mo(55) (Ping: 45) | damage: 0.000000 | Weapon: M4 | Issuer: AiLen_AmyLixx(19) | Frames: 51
[2016/4/7 - 14:29:24] Nam_Mon(18) (Ping: 47) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Audre_Coleman(12) | Frames: 51
