[2016/4/5 - 23:40:53] * LDT Frank da nhan duoc 1 Gift Reset Voucher(s), chuc vui ve!
[2016/4/5 - 23:40:56] * LDT Frank da nhan duoc 1 Armour, chuc vui ve!
[2016/4/5 - 23:41:00] * LDT Frank da nhan duoc 5 firework(s), chuc vui ve!
[2016/4/5 - 23:41:02] * LDT Frank da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/4/5 - 23:41:05] * LDT Frank da nhan duoc 1 rimkit(s), chuc vui ve!
[2016/4/5 - 23:41:07] * LDT Frank da nhan duoc 1 Toy Slot(s), chuc vui ve!
[2016/4/5 - 23:41:09] * LDT Frank da nhan duoc  Full Health & Armor, chuc vui ve!
[2016/4/5 - 23:41:11] * LDT Frank da nhan duoc 5 VIP Token(s), chuc vui ve!
[2016/4/5 - 23:41:13] * LDT Frank da nhan duoc 1 Car Slot(s), chuc vui ve!
[2016/4/5 - 23:41:17] * LDT Frank da nhan duoc 1 Seven day Gold VIP Voucher(s), chuc vui ve!
[2016/4/5 - 23:41:38] * LDT Frank da nhan duoc $100,000, chuc vui ve!
[2016/4/6 - 2:37:28] * Khang CiuTe da nhan duoc mot Laser, chuc vui ve!
[2016/4/6 - 2:37:32] * Khang CiuTe da nhan duoc 1 Restricted Car Voucher(s), chuc vui ve!
[2016/4/6 - 2:37:36] * Khang CiuTe da nhan duoc 5 VIP Token(s), chuc vui ve!
[2016/4/6 - 2:37:44] * Khang CiuTe da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:37:46] * Khang CiuTe da nhan duoc 1 Car Slot(s), chuc vui ve!
[2016/4/6 - 2:37:48] * Khang CiuTe da nhan duoc 1 rimkit(s), chuc vui ve!
[2016/4/6 - 2:37:50] * Khang CiuTe da nhan duoc 5 Respect Point(s), chuc vui ve!
[2016/4/6 - 2:37:53] * Khang CiuTe da nhan duoc 50 Pot(s), chuc vui ve!
[2016/4/6 - 2:37:56] * Khang CiuTe da nhan duoc 1 Seven day Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:38:01] * Khang CiuTe da nhan duoc 5 Respect Point(s), chuc vui ve!
[2016/4/6 - 2:41:14] * Khang CiuTee da nhan duoc 20 Paintball Token(s), chuc vui ve!
[2016/4/6 - 2:41:17] * Khang CiuTee da nhan duoc 1 Car Voucher(s), chuc vui ve!
[2016/4/6 - 2:41:19] * Khang CiuTee da nhan duoc 1 Quang cao uu tien Voucher(s), chuc vui ve!
[2016/4/6 - 2:41:21] * Khang CiuTee da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:41:22] * My Tran da nhan duoc 1 Mot thang dung Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:41:23] * Khang CiuTee da nhan duoc 1 Gift Reset Voucher(s), chuc vui ve!
[2016/4/6 - 2:41:24] * Khang CiuTee da nhan duoc  Full Health & Armor, chuc vui ve!
[2016/4/6 - 2:41:26] * Khang CiuTee da nhan duoc 1 Seven day Silver VIP(s), chuc vui ve!
[2016/4/6 - 2:41:27] * Khang CiuTee da nhan duoc 1 Mot thang dung Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:42:07] * Khang CiuTee da nhan duoc mot Laser, chuc vui ve!
[2016/4/6 - 2:42:10] * Khang CiuTee da nhan duoc 20 Paintball Token(s), chuc vui ve!
[2016/4/6 - 2:42:12] * Khang CiuTee da nhan duoc 1 rimkit(s), chuc vui ve!
[2016/4/6 - 2:43:32] * My Tran da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:43:44] * My Tran da nhan duoc 1 Seven day Gold VIP(s), chuc vui ve!
[2016/4/6 - 2:43:47] * My Tran da nhan duoc 5 firework(s), chuc vui ve!
[2016/4/6 - 2:43:49] * My Tran da nhan duoc mot Laser, chuc vui ve!
[2016/4/6 - 2:43:52] * My Tran da nhan duoc 1 Car Slot(s), chuc vui ve!
[2016/4/6 - 2:43:58] * Khang CiuTeee da nhan duoc 1 Armour, chuc vui ve!
[2016/4/6 - 2:44:04] * My Tran da nhan duoc 1 Seven day Silver VIP(s), chuc vui ve!
[2016/4/6 - 2:44:12] * My Tran da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:44:15] * My Tran da nhan duoc 1 rimkit(s), chuc vui ve!
[2016/4/6 - 2:44:15] * Khang CiuTeee da nhan duoc 1 Mot thang dung Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:44:19] * Khang CiuTeee da nhan duoc mot Laser, chuc vui ve!
[2016/4/6 - 2:44:21] * Khang CiuTeee da nhan duoc mot Custom Toy, chuc vui ve!
[2016/4/6 - 2:44:23] * Khang CiuTeee da nhan duoc mot BuddyInvite, chuc vui ve!
[2016/4/6 - 2:44:26] * Khang CiuTeee da nhan duoc 1 Quang cao uu tien Voucher(s), chuc vui ve!
[2016/4/6 - 2:44:29] * My Tran da nhan duoc 1 Toy Slot(s), chuc vui ve!
[2016/4/6 - 2:44:31] * Khang CiuTeee da nhan duoc 1 Armour, chuc vui ve!
[2016/4/6 - 2:44:32] * My Tran da nhan duoc 1000 Credit(s), chuc vui ve!
[2016/4/6 - 2:44:35] * My Tran da nhan duoc 5 Respect Point(s), chuc vui ve!
[2016/4/6 - 2:44:36] * Khang CiuTeee da nhan duoc 20 Paintball Token(s), chuc vui ve!
[2016/4/6 - 2:44:38] * Khang CiuTeee da nhan duoc 1 Mot thang dung Silver VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:44:41] * Khang CiuTeee da nhan duoc 1 Car Slot(s), chuc vui ve!
[2016/4/6 - 2:44:44] * Khang CiuTeee da nhan duoc 1 Car Slot(s), chuc vui ve!
[2016/4/6 - 2:46:07] * Khang CiuTeeee da nhan duoc 5 VIP Token(s), chuc vui ve!
[2016/4/6 - 2:46:10] * Khang CiuTeeee da nhan duoc 1 Restricted Car Voucher(s), chuc vui ve!
[2016/4/6 - 2:46:12] * Khang CiuTeeee da nhan duoc 5 VIP Token(s), chuc vui ve!
[2016/4/6 - 2:46:13] * Khang CiuTeeee da nhan duoc 1 Platinum VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:46:15] * Khang CiuTeeee da nhan duoc  Full Health & Armor, chuc vui ve!
[2016/4/6 - 2:46:16] * Khang CiuTeeee da nhan duoc 1 Seven day Gold VIP Voucher(s), chuc vui ve!
[2016/4/6 - 2:46:19] * Khang CiuTeeee da nhan duoc mot Laser, chuc vui ve!
[2016/4/6 - 2:46:20] * Khang CiuTeeee da nhan duoc 1000 Credit(s), chuc vui ve!
[2016/4/6 - 2:46:22] * Khang CiuTeeee da nhan duoc 1000 Credit(s), chuc vui ve!
[2016/4/6 - 2:47:04] * My Trans da nhan duoc 1 Car Voucher(s), chuc vui ve!
